absurdo concurso público forma legítima justa prover cartórios pois escolher competentes proporciona acesso democrático não imoralidade	train
mantido pois muitos cartórios pequenos irão fechar	train
fazer justiça titulares substitutos anos frente serventias envelheceram serventias passando todas dificuldades não podem jogados qualquer jeito velhos chance novo emprego	train
retrocesso totalmente inconstitucional cartórios melhoraram atendimento após abertura vagas concursados	train
concurso prestar concurso três etapas necessita esforço tremendo motivo outros merecem apadrinhados receber colo delegação além imoral inconstitucional	train
resolve questão vacância principalmente cidades pequenas distritos valorizando outrora batalharam ainda batalham serventia	train
subversão razoável	train
atenta claramente contra princípios moralidade impessoalidade isonomia previstos cf	train
pessoa sorte destino fica cargo concursos difíceis brasil tá fácil	train
respeito respondentes dedicaram anos vidas trabalho cartorario	train
nenhum incompatível nova ordem democrática	train
inconstitucional	train
reconhecimento trabalho dedica vida 5 anos trabalho	train
total retrocesso desrespeito milhares pessoas dedicam arduamente honestamente aprovação concurso	train
vota conta pec não entende quantas pessoas estariam sendo prejudicadas população carente mora pequenos municípios distritos deslocar município maior requerer serviços básicos pois haveria fechamento serventias deficitárias difícil acesso grande parte destas pessoas não aqui votando pois não possuem conhecimento necessário	train
corrige injustiça dedicou durante vários anos atividade forma séria competente	train
fazer justiça trabalham anos neste ramo	train
imoralidade total	train
estado tjs anexam serventias remuneração pífia outras aumente renda mínima dar estabilidade aprovação concurso público híper inconstitucional	train
acho justo efetivação interinos pois conheço interinos 36 anos cartorio vida merece estabilidade	train
injustiça	train
serviço prestado igualdade concursados justiça respondentes dedicam vida prestação bons serviços	train
inconstitucional mantem gestores não preparados cartórios criando margem fraudes desserviço populaçao	train
inconstitucional existe regra preenchimento vagas cartórios única exclusivamente concurso provas títulos cf não admite exceções	train
questão justiça interinos dedicaram anos vida função serventias evitar ocorra acontecendo serventias vagas pois concursados não querem assumir baixa rentabilidade	train
proposta baseada argumentos mentirosos afirmando cartórios fechados falácias buscam regularizar situação titulares não submeteram concurso cartório concurso chega jeitinho chega herança	train
retrocesso precedentes história brasil pleno século xxi agentes públicos nomeados tabeliães prestar concurso público indo contramão constituição brasil simplesmente vergonha estado democrático direito	train
pec completamente contrária afrontosa verdadeira aberração jurídica	train
reconhecimento anos dedicou trabalho presteza sociedade transparência perante fórum tj estado	train
suposto argumento pequenas serventias ficaram titular demagogia pois concursado não assume interino fica	train
estabelece forma inconstitucional acesso cargo público efetivo deve apenas concurso	train
pessoas vida dedicada cartório não pode simplesmente sair perder todo esforço vida anos dedicação	train
não injustos pessoas capacitadas lá vários anos	train
fere princípios constitucionais norma orginária constituição federal	train
segurança jurídica constituição 88 direitos reservados	train
famoso trem alegria facil efetivar concurso contrariando todo ordenamento juridico cf leia normas esparsas obrigar interinos passarem concurso todo qualquer cidadao	train
queremos país honesto começar votar leis não firam princípios basilares república isonomia moralidade	train
fere totalmente principio isonomia onde todas possam lutar condições iguladade cargo meio concurso público não trata sistema monárquico passa direito exercer função forma hereditária	train
segurança jurídica maior razão fundamento existência serventias extrajudiciais restará eliminada concurso público garante isonomia certeza profissionais qualificados exercício atividade	train
favorecer pequenos cartórios	train
pouco caso esforço sacrifício milhares atualmente preparam pra concurso pouco caso meritocracia ofensa princípios constitucionais igualdade moralidade	train
inconstitucional	train
absurdo so previlegiará ricos	train
justiça respondentes passaram anos hora outra podem sair outras pessoas inexperientes assumir	train
valorizar atuando	train
questão justiça evitar serventias baixa rentabilidade interiores fechadas q geraria grandes transtornos	train
flagrantemente inconstitucional trem alegria incompetentes	train
inconstitucional injusto imoral	train
trem alegria apadrinhados políticos respeito constituição federal mínimo espera congresso nacional	train
indicação política ausência imparcialidade acesso sempre deve concurso público contrário vamos rasgar constituição injustiça não padrinho época indicasse assumir serventia meritocracia	train
cargo público deve preenchido concurso	train
fere princípio constitucional impessoalidade	train
pessoa não presta concurso não deve cargo vitalício não ter adquirido mérito próprio logo não ter passado processo seletivo conhecimento	train
afronta isonomia cidadãos art 5º regra concurso público art 236 3ª sendo inconstitucional conforme inúmeras decisões stf	train
ótimo trabalho interionos vem prestando sociedade	train
inconstitucional antiética abusiva imoral	train
burla princípio concurso público	train
afronta constituição federal	train
pec pretende regularizar situação interinos cartórios contrariando constituição federal muitos não possuem conhecimento juridico prática serviços alçados cargo razão conchavos políticos amizades	train
pessoas responsáveis participam ativamente vida cartorária 30 anos	train
legitimar direito serviço prestado população anos décadas localidade rejeitada concursados	train
absurdo brasil base jeitinho sempre acabar concurso público	train
justiça serventuários anos labuta única coisa sabem fazer atuarem atuando	train
pessoas experientes	train
